Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1681603200000,2023-04-16,ANTBTC,0.00011786,0.00011806,0.00011488,0.00011636,26660.0,3.10204911,3894
1681516800000,2023-04-15,ANTBTC,0.00011948,0.00012157,0.0001169,0.0001179,22555.4,2.68855466,789
1681257600000,2023-04-12,ANTBTC,0.00010885,0.00011153,0.00010613,0.00011001,52685.6,5.71401786,2491
1681171200000,2023-04-11,ANTBTC,0.00010475,0.00011216,0.00010156,0.00010889,77272.0,8.18232942,4423
1681084800000,2023-04-10,ANTBTC,0.00011077,0.00012,0.00010444,0.00010479,42288.6,4.63360272,1414
1680998400000,2023-04-09,ANTBTC,0.00011382,0.0001156,0.00010911,0.00011065,75372.7,8.38900679,1466
1680912000000,2023-04-08,ANTBTC,0.00010727,0.00011945,0.00010621,0.0001144,114478.6,12.94447358,2690
1680825600000,2023-04-07,ANTBTC,0.00010493,0.00012947,0.00010379,0.00010746,259264.9,29.47465146,6477
1680739200000,2023-04-06,ANTBTC,9.957e-05,0.00010747,9.798e-05,0.00010603,76523.3,7.75194739,1810
1680652800000,2023-04-05,ANTBTC,9.597e-05,9.961e-05,9.444e-05,9.924e-05,26141.4,2.53894064,684
1680566400000,2023-04-04,ANTBTC,9.389e-05,9.679e-05,9.338e-05,9.605e-05,24574.6,2.33661258,695
1680480000000,2023-04-03,ANTBTC,9.091e-05,9.371e-05,8.855e-05,9.367e-05,43128.7,3.91161944,1360
1680393600000,2023-04-02,ANTBTC,8.966e-05,9.16e-05,8.832e-05,9.089e-05,14455.8,1.30650314,886
1680307200000,2023-04-01,ANTBTC,9.024e-05,9.216e-05,8.769e-05,8.956e-05,33331.3,3.00522985,725
1680220800000,2023-03-31,ANTBTC,8.849e-05,9.131e-05,8.759e-05,8.975e-05,33142.9,2.97799697,957
1680134400000,2023-03-30,ANTBTC,8.746e-05,8.977e-05,8.569e-05,8.849e-05,33535.3,2.94853826,1107
1679961600000,2023-03-28,ANTBTC,8.183e-05,8.43e-05,8.034e-05,8.38e-05,15911.3,1.31638599,558
1679875200000,2023-03-27,ANTBTC,8.564e-05,8.631e-05,8.06e-05,8.168e-05,18410.0,1.52891234,890
1679788800000,2023-03-26,ANTBTC,8.411e-05,8.638e-05,8.405e-05,8.535e-05,15356.6,1.3091207,372
1679702400000,2023-03-25,ANTBTC,8.776e-05,8.822e-05,8.37e-05,8.44e-05,16252.8,1.39200306,556
1679616000000,2023-03-24,ANTBTC,8.623e-05,8.883e-05,8.502e-05,8.75e-05,23334.6,2.02962778,987
1679529600000,2023-03-23,ANTBTC,8.493e-05,8.718e-05,8.434e-05,8.649e-05,21178.6,1.81647686,648
1679443200000,2023-03-22,ANTBTC,8.461e-05,8.536e-05,8.178e-05,8.496e-05,19663.7,1.6520343,593
1679356800000,2023-03-21,ANTBTC,8.461e-05,8.525e-05,8.186e-05,8.465e-05,18935.2,1.58720204,631
1679270400000,2023-03-20,ANTBTC,8.727e-05,9.027e-05,8.319e-05,8.5e-05,32209.2,2.76487298,1091
1679184000000,2023-03-19,ANTBTC,8.809e-05,9.265e-05,8.685e-05,8.731e-05,23422.8,2.10975219,847
1679097600000,2023-03-18,ANTBTC,9.073e-05,9.168e-05,8.769e-05,8.809e-05,19921.0,1.79633948,586
1679011200000,2023-03-17,ANTBTC,9.412e-05,9.417e-05,8.733e-05,9.05e-05,27386.5,2.45541923,996
1678924800000,2023-03-16,ANTBTC,9.401e-05,9.558e-05,9.219e-05,9.398e-05,14046.0,1.32223914,622
1678838400000,2023-03-15,ANTBTC,9.764e-05,9.898e-05,9.056e-05,9.453e-05,31518.8,2.99292262,1159
1678752000000,2023-03-14,ANTBTC,9.854e-05,0.00010079,9.338e-05,9.731e-05,65072.1,6.31189088,1713
1678665600000,2023-03-13,ANTBTC,0.00010628,0.00010684,9.755e-05,9.903e-05,31361.4,3.17206809,986
1678579200000,2023-03-12,ANTBTC,0.0001034,0.00010719,0.00010306,0.00010578,28920.7,3.04698359,825
1678492800000,2023-03-11,ANTBTC,0.00010275,0.00010366,9.908e-05,0.00010366,27266.1,2.77675627,776
1678406400000,2023-03-10,ANTBTC,0.00010085,0.00010368,9.694e-05,0.00010319,22671.0,2.28412807,603
1678320000000,2023-03-09,ANTBTC,0.00010058,0.00010525,9.943e-05,0.00010086,16490.5,1.68816474,556
1678233600000,2023-03-08,ANTBTC,0.00010683,0.00010683,9.73e-05,0.00010055,20579.7,2.08559875,746
1678147200000,2023-03-07,ANTBTC,0.00010719,0.00010853,0.00010431,0.00010684,12771.6,1.35729306,420
1678060800000,2023-03-06,ANTBTC,0.00010521,0.00010737,0.00010346,0.00010704,9490.7,0.99733397,460
1677974400000,2023-03-05,ANTBTC,0.00010765,0.00010987,0.0001046,0.00010504,16712.1,1.79857088,3135
1677888000000,2023-03-04,ANTBTC,0.00011101,0.00011253,0.00010581,0.00010762,25073.8,2.7444529,6907
1677801600000,2023-03-03,ANTBTC,0.00011318,0.0001132,0.00010761,0.00011075,29121.8,3.20514657,1641
1677715200000,2023-03-02,ANTBTC,0.00011614,0.00011614,0.00011282,0.00011346,8784.0,1.00357849,308
1677628800000,2023-03-01,ANTBTC,0.00011517,0.00011673,0.00011404,0.00011568,8187.3,0.93952785,261
1677542400000,2023-02-28,ANTBTC,0.00011396,0.00011691,0.0001139,0.00011517,12095.9,1.39547433,385
1677456000000,2023-02-27,ANTBTC,0.00011939,0.00011939,0.00011355,0.00011409,27744.8,3.21393939,937
1677369600000,2023-02-26,ANTBTC,0.00012278,0.00012488,0.00011913,0.00011913,65243.2,8.09115168,1277
1677283200000,2023-02-25,ANTBTC,0.00012354,0.00012392,0.00012026,0.00012298,8091.7,0.99321814,404
1677196800000,2023-02-24,ANTBTC,0.00012417,0.00012717,0.00012129,0.00012354,79060.7,9.81043424,1809
1677110400000,2023-02-23,ANTBTC,0.00012249,0.00012534,0.0001216,0.00012495,15199.5,1.87205377,577
1677024000000,2023-02-22,ANTBTC,0.00011964,0.00012475,0.0001183,0.0001223,43247.0,5.25649215,1670
1676937600000,2023-02-21,ANTBTC,0.00012506,0.00012539,0.00011732,0.00011964,43227.5,5.16534663,1275
1676851200000,2023-02-20,ANTBTC,0.0001255,0.00012771,0.00012358,0.00012459,26624.7,3.34815022,1023
1676764800000,2023-02-19,ANTBTC,0.00012242,0.00012776,0.00012116,0.00012577,27879.0,3.46987801,1236
1676678400000,2023-02-18,ANTBTC,0.00012417,0.00012688,0.00012135,0.00012242,25283.9,3.14255789,923
1676592000000,2023-02-17,ANTBTC,0.00011864,0.0001248,0.00011848,0.00012417,18172.4,2.21467057,1080
1676505600000,2023-02-16,ANTBTC,0.00012189,0.00012262,0.00011652,0.00011869,19920.4,2.39089784,1048
1676419200000,2023-02-15,ANTBTC,0.00012661,0.00012689,0.00011948,0.00012217,23729.3,2.92778927,867
1676332800000,2023-02-14,ANTBTC,0.00012443,0.00012729,0.00012275,0.00012661,13417.4,1.68024032,3934
1676246400000,2023-02-13,ANTBTC,0.00012641,0.00012641,0.00011844,0.00012456,20824.6,2.56109533,1785
1676160000000,2023-02-12,ANTBTC,0.00012975,0.00013113,0.00012557,0.00012609,24074.3,3.08707114,3357
1676073600000,2023-02-11,ANTBTC,0.00013239,0.000134,0.00012961,0.00013018,14036.8,1.84815477,706
1675987200000,2023-02-10,ANTBTC,0.00012416,0.0001386,0.0001195,0.00013133,148849.1,19.09759131,3115
1675900800000,2023-02-09,ANTBTC,0.00012963,0.0001326,0.00012122,0.00012441,48988.5,6.22621638,1739
1675814400000,2023-02-08,ANTBTC,0.00013241,0.00013405,0.00012601,0.00012948,26094.7,3.35396436,1054
1675728000000,2023-02-07,ANTBTC,0.00012579,0.00013254,0.00012547,0.00013165,25109.4,3.23581799,902
1675641600000,2023-02-06,ANTBTC,0.00012713,0.00012854,0.00012439,0.00012652,57207.7,7.22893781,891
1675555200000,2023-02-05,ANTBTC,0.00013295,0.00013331,0.00012419,0.00012722,80940.1,10.55399297,1776
1675468800000,2023-02-04,ANTBTC,0.00013419,0.0001373,0.0001319,0.00013261,68379.3,9.18628002,5238
1675382400000,2023-02-03,ANTBTC,0.00013174,0.00013536,0.00012847,0.00013401,34515.2,4.56786823,1789
1675296000000,2023-02-02,ANTBTC,0.00013084,0.00013858,0.00012799,0.0001321,65681.6,8.71354813,2535
1675209600000,2023-02-01,ANTBTC,0.00013903,0.00013925,0.00012675,0.00013035,35802.5,4.72859307,3566
1675123200000,2023-01-31,ANTBTC,0.00013497,0.00014157,0.00013266,0.00013828,48539.8,6.64270248,2520
1675036800000,2023-01-30,ANTBTC,0.00012818,0.00013681,0.00012489,0.00013464,64708.7,8.64158991,5436
1674950400000,2023-01-29,ANTBTC,0.00012725,0.00012818,0.00012471,0.00012746,9308.4,1.17758388,505
1674864000000,2023-01-28,ANTBTC,0.00013128,0.00013487,0.00012717,0.00012725,14364.1,1.89352309,786
1674777600000,2023-01-27,ANTBTC,0.00013015,0.000133,0.00012781,0.0001315,17733.8,2.3048392,827
1674691200000,2023-01-26,ANTBTC,0.00012637,0.00013041,0.00012465,0.00013012,11445.0,1.45349023,836
1674604800000,2023-01-25,ANTBTC,0.00012677,0.0001277,0.0001237,0.00012655,37144.6,4.66893423,1444
1674518400000,2023-01-24,ANTBTC,0.0001326,0.00013471,0.00012353,0.00012713,27273.4,3.53623648,1248
1674432000000,2023-01-23,ANTBTC,0.00013332,0.0001392,0.00012761,0.00013301,31420.5,4.19057877,1967
1674345600000,2023-01-22,ANTBTC,0.00013136,0.00013658,0.00013025,0.0001333,24535.1,3.27389449,1270
1674259200000,2023-01-21,ANTBTC,0.00013046,0.00013475,0.00012682,0.00013104,50501.8,6.61892626,1903
1674172800000,2023-01-20,ANTBTC,0.00012745,0.00014009,0.00012684,0.00013071,41786.4,5.53010207,2216
1674086400000,2023-01-19,ANTBTC,0.00011939,0.00012946,0.00011897,0.00012728,41601.2,5.1718858,2282
1674000000000,2023-01-18,ANTBTC,0.00012235,0.00012427,0.00011279,0.00011939,43427.6,5.17182686,2107
1673913600000,2023-01-17,ANTBTC,0.00012571,0.00012968,0.00012138,0.00012201,25320.2,3.21744,814
1673827200000,2023-01-16,ANTBTC,0.00012963,0.00013265,0.00012484,0.00012637,57403.9,7.39798915,1813
1673740800000,2023-01-15,ANTBTC,0.00012753,0.00013393,0.00012333,0.00012931,56223.4,7.21725772,3176
1673654400000,2023-01-14,ANTBTC,0.00012922,0.00013341,0.00012215,0.00012748,176035.0,22.27069096,3862
1673568000000,2023-01-13,ANTBTC,0.00012636,0.0001319,0.00012603,0.00012922,36176.3,4.67070876,1381
